system,query_id,instrument,latency_seconds,source,top_k
jinaclip,q_caixa_tamboril_en,caixa-tamboril,0.095053,benchmark,100
jinaclip,q_caixa_tamboril_es,caixa-tamboril,0.092010,benchmark,100
jinaclip,q_castanholas_pt,castanholas,0.092364,benchmark,100
jinaclip,q_castanholas_en,castanholas,0.092064,benchmark,100
jinaclip,q_castanholas_es,castanholas,0.092708,benchmark,100
jinaclip,q_cavaquinho_pt,cavaquinho,0.092057,benchmark,100
jinaclip,q_cavaquinho_en,cavaquinho,0.094924,benchmark,100
jinaclip,q_cavaquinho_es,cavaquinho,0.092294,benchmark,100
jinaclip,q_concertina_pt,concertina,0.091932,benchmark,100
jinaclip,q_concertina_en,concertina,0.092394,benchmark,100
jinaclip,q_concertina_es,concertina,0.095799,benchmark,100
jinaclip,q_ferrinhos_triangulo_pt,ferrinhos-triangulo,0.092531,benchmark,100
jinaclip,q_ferrinhos_triangulo_en,ferrinhos-triangulo,0.092173,benchmark,100
jinaclip,q_ferrinhos_triangulo_es,ferrinhos-triangulo,0.092930,benchmark,100
jinaclip,q_flauta_pt,flauta,0.092424,benchmark,100
jinaclip,q_flauta_en,flauta,0.092093,benchmark,100
jinaclip,q_flauta_es,flauta,0.091982,benchmark,100
jinaclip,q_gaita_de_foles_pt,gaita-de-foles,0.092206,benchmark,100
jinaclip,q_gaita_de_foles_en,gaita-de-foles,0.092007,benchmark,100
jinaclip,q_gaita_de_foles_es,gaita-de-foles,0.091914,benchmark,100
jinaclip,q_guitarra_portuguesa_pt,guitarra-portuguesa,0.092041,benchmark,100
jinaclip,q_guitarra_portuguesa_en,guitarra-portuguesa,0.098038,benchmark,100
jinaclip,q_guitarra_portuguesa_es,guitarra-portuguesa,0.092432,benchmark,100
jinaclip,q_matracas_pt,matracas,0.092134,benchmark,100
jinaclip,q_matracas_en,matracas,0.092844,benchmark,100
jinaclip,q_matracas_es,matracas,0.092162,benchmark,100
jinaclip,q_palheta_pt,palheta,0.092214,benchmark,100
jinaclip,q_palheta_en,palheta,0.092112,benchmark,100
jinaclip,q_palheta_es,palheta,0.092360,benchmark,100
jinaclip,q_rabeca_chuleira_pt,rabeca-chuleira,0.092311,benchmark,100
jinaclip,q_rabeca_chuleira_en,rabeca-chuleira,0.094264,benchmark,100
jinaclip,q_rabeca_chuleira_es,rabeca-chuleira,0.094528,benchmark,100
jinaclip,q_reque_reque_pt,reque-reque,0.095136,benchmark,100
jinaclip,q_reque_reque_en,reque-reque,0.092201,benchmark,100
jinaclip,q_reque_reque_es,reque-reque,0.092139,benchmark,100
jinaclip,q_sarronca_pt,sarronca,0.092002,benchmark,100
jinaclip,q_sarronca_en,sarronca,0.092218,benchmark,100
jinaclip,q_sarronca_es,sarronca,0.092068,benchmark,100
jinaclip,q_viola_amarantina_pt,viola-amarantina,0.091905,benchmark,100
jinaclip,q_viola_amarantina_en,viola-amarantina,0.094761,benchmark,100
jinaclip,q_viola_amarantina_es,viola-amarantina,0.092540,benchmark,100
jinaclip,q_viola_beiroa_pt,viola-beiroa,0.092308,benchmark,100
jinaclip,q_viola_beiroa_en,viola-beiroa,0.092094,benchmark,100
jinaclip,q_viola_beiroa_es,viola-beiroa,0.094776,benchmark,100
jinaclip,q_viola_braguesa_pt,viola-braguesa,0.092176,benchmark,100
jinaclip,q_viola_braguesa_en,viola-braguesa,0.091974,benchmark,100
jinaclip,q_viola_braguesa_es,viola-braguesa,0.092124,benchmark,100
jinaclip,q_viola_campanica_pt,viola-campanica,0.092279,benchmark,100
jinaclip,q_viola_campanica_en,viola-campanica,0.092288,benchmark,100
jinaclip,q_viola_campanica_es,viola-campanica,0.092104,benchmark,100
jinaclip,q_viola_de_arame_pt,viola-de-arame,0.091933,benchmark,100
jinaclip,q_viola_de_arame_en,viola-de-arame,0.092504,benchmark,100
jinaclip,q_viola_de_arame_es,viola-de-arame,0.092023,benchmark,100
jinaclip,q_viola_toeira_pt,viola-toeira,0.092303,benchmark,100
jinaclip,q_viola_toeira_en,viola-toeira,0.094661,benchmark,100
jinaclip,q_viola_toeira_es,viola-toeira,0.092656,benchmark,100
jinaclip,q_violao_pt,violao,0.091969,benchmark,100
jinaclip,q_violao_en,violao,0.092193,benchmark,100
jinaclip,q_violao_es,violao,0.092229,benchmark,100
colqwen,q_adufe_pt,adufe,0.524554,benchmark,100
colqwen,q_adufe_en,adufe,0.485261,benchmark,100
colqwen,q_adufe_es,adufe,0.485688,benchmark,100
colqwen,q_bombos_pt,bombos,0.470716,benchmark,100
colqwen,q_bombos_en,bombos,0.479171,benchmark,100
colqwen,q_bombos_es,bombos,0.476600,benchmark,100
colqwen,q_caixa_tamboril_pt,caixa-tamboril,0.476524,benchmark,100
colqwen,q_caixa_tamboril_en,caixa-tamboril,0.478431,benchmark,100
colqwen,q_caixa_tamboril_es,caixa-tamboril,0.477796,benchmark,100
colqwen,q_castanholas_pt,castanholas,0.472364,benchmark,100
colqwen,q_castanholas_en,castanholas,0.473754,benchmark,100
colqwen,q_castanholas_es,castanholas,0.471010,benchmark,100
colqwen,q_cavaquinho_pt,cavaquinho,0.474748,benchmark,100
colqwen,q_cavaquinho_en,cavaquinho,0.539916,benchmark,100
colqwen,q_cavaquinho_es,cavaquinho,0.489073,benchmark,100
colqwen,q_concertina_pt,concertina,0.469783,benchmark,100
colqwen,q_concertina_en,concertina,0.481717,benchmark,100
colqwen,q_concertina_es,concertina,0.474425,benchmark,100
colqwen,q_ferrinhos_triangulo_pt,ferrinhos-triangulo,0.476152,benchmark,100
colqwen,q_ferrinhos_triangulo_en,ferrinhos-triangulo,0.473496,benchmark,100
colqwen,q_ferrinhos_triangulo_es,ferrinhos-triangulo,0.474624,benchmark,100
colqwen,q_flauta_pt,flauta,0.471877,benchmark,100
colqwen,q_flauta_en,flauta,0.469082,benchmark,100
colqwen,q_flauta_es,flauta,0.478636,benchmark,100
colqwen,q_gaita_de_foles_pt,gaita-de-foles,0.475497,benchmark,100
colqwen,q_gaita_de_foles_en,gaita-de-foles,0.471307,benchmark,100
colqwen,q_gaita_de_foles_es,gaita-de-foles,0.469498,benchmark,100
colqwen,q_guitarra_portuguesa_pt,guitarra-portuguesa,0.475220,benchmark,100
colqwen,q_guitarra_portuguesa_en,guitarra-portuguesa,0.474809,benchmark,100
colqwen,q_guitarra_portuguesa_es,guitarra-portuguesa,0.484108,benchmark,100
colqwen,q_matracas_pt,matracas,0.470773,benchmark,100
colqwen,q_matracas_en,matracas,0.478408,benchmark,100
colqwen,q_matracas_es,matracas,0.474739,benchmark,100
colqwen,q_palheta_pt,palheta,0.471408,benchmark,100
colqwen,q_palheta_en,palheta,0.489735,benchmark,100
colqwen,q_palheta_es,palheta,0.484466,benchmark,100
colqwen,q_rabeca_chuleira_pt,rabeca-chuleira,0.473011,benchmark,100
colqwen,q_rabeca_chuleira_en,rabeca-chuleira,0.472909,benchmark,100
colqwen,q_rabeca_chuleira_es,rabeca-chuleira,0.477319,benchmark,100
colqwen,q_reque_reque_pt,reque-reque,0.470906,benchmark,100
colqwen,q_reque_reque_en,reque-reque,0.481087,benchmark,100
colqwen,q_reque_reque_es,reque-reque,0.475072,benchmark,100
colqwen,q_sarronca_pt,sarronca,0.473080,benchmark,100
colqwen,q_sarronca_en,sarronca,0.474681,benchmark,100
colqwen,q_sarronca_es,sarronca,0.490415,benchmark,100
colqwen,q_viola_amarantina_pt,viola-amarantina,0.503116,benchmark,100
colqwen,q_viola_amarantina_en,viola-amarantina,0.481557,benchmark,100
colqwen,q_viola_amarantina_es,viola-amarantina,0.497104,benchmark,100
colqwen,q_viola_beiroa_pt,viola-beiroa,0.473646,benchmark,100
colqwen,q_viola_beiroa_en,viola-beiroa,0.478353,benchmark,100
colqwen,q_viola_beiroa_es,viola-beiroa,0.480317,benchmark,100
colqwen,q_viola_braguesa_pt,viola-braguesa,0.472448,benchmark,100
colqwen,q_viola_braguesa_en,viola-braguesa,0.480353,benchmark,100
colqwen,q_viola_braguesa_es,viola-braguesa,0.479483,benchmark,100
colqwen,q_viola_campanica_pt,viola-campanica,0.475479,benchmark,100
colqwen,q_viola_campanica_en,viola-campanica,0.479567,benchmark,100
colqwen,q_viola_campanica_es,viola-campanica,0.483759,benchmark,100
colqwen,q_viola_de_arame_pt,viola-de-arame,0.474493,benchmark,100
colqwen,q_viola_de_arame_en,viola-de-arame,0.480705,benchmark,100
colqwen,q_viola_de_arame_es,viola-de-arame,0.485909,benchmark,100
colqwen,q_viola_toeira_pt,viola-toeira,0.470804,benchmark,100
colqwen,q_viola_toeira_en,viola-toeira,0.480144,benchmark,100
colqwen,q_viola_toeira_es,viola-toeira,0.481193,benchmark,100
colqwen,q_violao_pt,violao,0.471900,benchmark,100
colqwen,q_violao_en,violao,0.472513,benchmark,100
colqwen,q_violao_es,violao,0.480560,benchmark,100
B4_VLM,q_adufe_pt,adufe,8.491812,trace_span,
B4_VLM,q_adufe_en,adufe,8.045563,trace_span,
B4_VLM,q_adufe_es,adufe,8.119637,trace_span,
B4_VLM,q_bombos_pt,bombos,8.447742,trace_span,
B4_VLM,q_bombos_en,bombos,19.516423,trace_span,
B4_VLM,q_bombos_es,bombos,18.701294,trace_span,
B4_VLM,q_caixa_tamboril_pt,caixa-tamboril,52.693173,trace_span,
B4_VLM,q_caixa_tamboril_en,caixa-tamboril,35.024035,trace_span,
B4_VLM,q_caixa_tamboril_es,caixa-tamboril,10.732932,trace_span,
B4_VLM,q_castanholas_pt,castanholas,56.605620,trace_span,
B4_VLM,q_castanholas_en,castanholas,40.881332,trace_span,
B4_VLM,q_castanholas_es,castanholas,24.458902,trace_span,
B4_VLM,q_cavaquinho_pt,cavaquinho,47.347897,trace_span,
B4_VLM,q_cavaquinho_en,cavaquinho,21.183209,trace_span,
B4_VLM,q_cavaquinho_es,cavaquinho,10.125205,trace_span,
B4_VLM,q_concertina_pt,concertina,48.540494,trace_span,
B4_VLM,q_concertina_en,concertina,14.839945,trace_span,
B4_VLM,q_concertina_es,concertina,14.162256,trace_span,
B4_VLM,q_ferrinhos_triangulo_pt,ferrinhos-triangulo,48.149707,trace_span,
B4_VLM,q_ferrinhos_triangulo_en,ferrinhos-triangulo,25.167367,trace_span,
B4_VLM,q_ferrinhos_triangulo_es,ferrinhos-triangulo,17.055495,trace_span,
B4_VLM,q_flauta_pt,flauta,47.824767,trace_span,
B4_VLM,q_flauta_en,flauta,28.592821,trace_span,
B4_VLM,q_flauta_es,flauta,7.883537,trace_span,
B4_VLM,q_gaita_de_foles_pt,gaita-de-foles,49.052586,trace_span,
B4_VLM,q_gaita_de_foles_en,gaita-de-foles,42.429201,trace_span,
B4_VLM,q_gaita_de_foles_es,gaita-de-foles,25.574505,trace_span,
B4_VLM,q_guitarra_portuguesa_pt,guitarra-portuguesa,50.452329,trace_span,
B4_VLM,q_guitarra_portuguesa_en,guitarra-portuguesa,14.002196,trace_span,
B4_VLM,q_guitarra_portuguesa_es,guitarra-portuguesa,9.187086,trace_span,
B4_VLM,q_matracas_pt,matracas,51.394070,trace_span,
B4_VLM,q_matracas_en,matracas,48.588655,trace_span,
B4_VLM,q_matracas_es,matracas,16.572494,trace_span,
B4_VLM,q_palheta_pt,palheta,51.250472,trace_span,
B4_VLM,q_palheta_en,palheta,35.005370,trace_span,
B4_VLM,q_palheta_es,palheta,17.999165,trace_span,
B4_VLM,q_rabeca_chuleira_pt,rabeca-chuleira,53.861594,trace_span,
B4_VLM,q_rabeca_chuleira_en,rabeca-chuleira,36.517893,trace_span,
B4_VLM,q_rabeca_chuleira_es,rabeca-chuleira,21.848923,trace_span,
B4_VLM,q_reque_reque_pt,reque-reque,54.594612,trace_span,
B4_VLM,q_reque_reque_en,reque-reque,40.951749,trace_span,
B4_VLM,q_reque_reque_es,reque-reque,24.551918,trace_span,
B4_VLM,q_sarronca_pt,sarronca,51.550334,trace_span,
B4_VLM,q_sarronca_en,sarronca,34.475823,trace_span,
B4_VLM,q_sarronca_es,sarronca,12.300007,trace_span,
B4_VLM,q_viola_amarantina_pt,viola-amarantina,45.409176,trace_span,
B4_VLM,q_viola_amarantina_en,viola-amarantina,37.631441,trace_span,
B4_VLM,q_viola_amarantina_es,viola-amarantina,15.472111,trace_span,
B4_VLM,q_viola_beiroa_pt,viola-beiroa,48.203544,trace_span,
B4_VLM,q_viola_beiroa_en,viola-beiroa,33.291505,trace_span,
B4_VLM,q_viola_beiroa_es,viola-beiroa,12.838201,trace_span,
B4_VLM,q_viola_braguesa_pt,viola-braguesa,44.412571,trace_span,
B4_VLM,q_viola_braguesa_en,viola-braguesa,33.579091,trace_span,
B4_VLM,q_viola_braguesa_es,viola-braguesa,11.650868,trace_span,
B4_VLM,q_viola_campanica_pt,viola-campanica,50.055190,trace_span,
B4_VLM,q_viola_campanica_en,viola-campanica,34.279671,trace_span,
B4_VLM,q_viola_campanica_es,viola-campanica,11.375499,trace_span,
B4_VLM,q_viola_de_arame_pt,viola-de-arame,45.765133,trace_span,
B4_VLM,q_viola_de_arame_en,viola-de-arame,26.903623,trace_span,
B4_VLM,q_viola_de_arame_es,viola-de-arame,9.682139,trace_span,
B4_VLM,q_viola_toeira_pt,viola-toeira,45.780469,trace_span,
B4_VLM,q_viola_toeira_en,viola-toeira,23.266093,trace_span,
B4_VLM,q_viola_toeira_es,viola-toeira,8.973146,trace_span,
B4_VLM,q_violao_pt,violao,51.390899,trace_span,
B4_VLM,q_violao_en,violao,23.203337,trace_span,
B4_VLM,q_violao_es,violao,9.825227,trace_span,
B5_agentic,q_adufe_pt,adufe,59.567092,trace_span,
B5_agentic,q_adufe_en,adufe,71.744178,trace_span,
B5_agentic,q_adufe_es,adufe,52.029644,trace_span,
B5_agentic,q_bombos_pt,bombos,21.039586,trace_span,
B5_agentic,q_bombos_en,bombos,32.454446,trace_span,
B5_agentic,q_bombos_es,bombos,14.691446,trace_span,
B5_agentic,q_caixa_tamboril_pt,caixa-tamboril,104.707120,trace_span,
